surah:ayah	position	string	meaning	ayah_link
53:32	21	ajinnatun	fetuses	 هُوَ أَعْلَمُ بِكُمْ إِذْ أَنْشَأَكُمْ مِنَ الْأَرْضِ وَإِذْ أَنْتُمْ أَجِنَّةٌ فِي بُطُونِ أُمَّهَاتِكُمْ
54:9	8	majnūnun	A madman	 كَذَّبَتْ قَبْلَهُمْ قَوْمُ نُوحٍ فَكَذَّبُوا عَبْدَنَا وَقَالُوا مَجْنُونٌ وَازْدُجِرَ
54:54	4	jannātin	gardens	 إِنَّ الْمُتَّقِينَ فِي جَنَّاتٍ وَنَهَرٍ
55:15	2	l-jāna	the jinn	 وَخَلَقَ الْجَانَّ مِنْ مَارِجٍ مِنْ نَارٍ
55:33	2	l-jini	(of) the jinn	 يَا مَعْشَرَ الْجِنِّ وَالْإِنْسِ إِنِ اسْتَطَعْتُمْ أَنْ تَنْفُذُوا مِنْ أَقْطَارِ السَّمَاوَاتِ وَالْأَرْضِ فَانْفُذُوا
55:39	8	jānnun	any jinn	 فَيَوْمَئِذٍ لَا يُسْأَلُ عَنْ ذَنْبِهِ إِنْسٌ وَلَا جَانٌّ
55:46	5	jannatāni	(are) two gardens	 وَلِمَنْ خَافَ مَقَامَ رَبِّهِ جَنَّتَانِ
55:54	8	l-janatayni	(of) both the gardens	 مُتَّكِئِينَ عَلَىٰ فُرُشٍ بَطَائِنُهَا مِنْ إِسْتَبْرَقٍ وَجَنَى الْجَنَّتَيْنِ دَانٍ
55:56	9	jānnun	any jinn	 فِيهِنَّ قَاصِرَاتُ الطَّرْفِ لَمْ يَطْمِثْهُنَّ إِنْسٌ قَبْلَهُمْ وَلَا جَانٌّ
55:62	3	jannatāni	(are) two gardens	 وَمِنْ دُونِهِمَا جَنَّتَانِ
55:74	6	jānnun	any jinn	 لَمْ يَطْمِثْهُنَّ إِنْسٌ قَبْلَهُمْ وَلَا جَانٌّ
56:12	2	jannāti	Gardens	 فِي جَنَّاتِ النَّعِيمِ
56:89	3	wajannatu	and a Garden	 فَرَوْحٌ وَرَيْحَانٌ وَجَنَّتُ نَعِيمٍ
57:12	12	jannātun	gardens	 بُشْرَاكُمُ الْيَوْمَ جَنَّاتٌ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ خَالِدِينَ فِيهَا
57:21	6	wajannatin	and a Garden	 سَابِقُوا إِلَىٰ مَغْفِرَةٍ مِنْ رَبِّكُمْ وَجَنَّةٍ عَرْضُهَا كَعَرْضِ السَّمَاءِ وَالْأَرْضِ
58:16	3	junnatan	(as) a cover	 اتَّخَذُوا أَيْمَانَهُمْ جُنَّةً فَصَدُّوا عَنْ سَبِيلِ اللَّهِ فَلَهُمْ عَذَابٌ مُهِينٌ
58:22	31	jannātin	(to) Gardens	 وَيُدْخِلُهُمْ جَنَّاتٍ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ خَالِدِينَ فِيهَا
59:20	6	l-janati	(of) Paradise	 لَا يَسْتَوِي أَصْحَابُ النَّارِ وَأَصْحَابُ الْجَنَّةِ
59:20	8	l-janati	(of) Paradise	 أَصْحَابُ الْجَنَّةِ هُمُ الْفَائِزُونَ
61:12	5	jannātin	(in) Gardens	 يَغْفِرْ لَكُمْ ذُنُوبَكُمْ وَيُدْخِلْكُمْ جَنَّاتٍ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ
61:12	13	jannāti	Gardens	 وَمَسَاكِنَ طَيِّبَةً فِي جَنَّاتِ عَدْنٍ ذَٰلِكَ الْفَوْزُ الْعَظِيمُ
63:2	3	junnatan	(as) a cover	 اتَّخَذُوا أَيْمَانَهُمْ جُنَّةً فَصَدُّوا عَنْ سَبِيلِ اللَّهِ إِنَّهُمْ سَاءَ مَا كَانُوا يَعْمَلُونَ
64:9	17	jannātin	(to) Gardens	 وَيُدْخِلْهُ جَنَّاتٍ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ خَالِدِينَ فِيهَا أَبَدًا
65:11	22	jannātin	(into) Gardens	 وَمَنْ يُؤْمِنْ بِاللَّهِ وَيَعْمَلْ صَالِحًا يُدْخِلْهُ جَنَّاتٍ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ
66:8	16	jannātin	(into) Gardens	 عَسَىٰ رَبُّكُمْ أَنْ يُكَفِّرَ عَنْكُمْ سَيِّئَاتِكُمْ وَيُدْخِلَكُمْ جَنَّاتٍ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ
66:11	16	l-janati	Paradise	 إِذْ قَالَتْ رَبِّ ابْنِ لِي عِنْدَكَ بَيْتًا فِي الْجَنَّةِ
68:2	5	bimajnūnin	a madman	 مَا أَنْتَ بِنِعْمَةِ رَبِّكَ بِمَجْنُونٍ
68:17	6	l-janati	(of) the garden	 إِنَّا بَلَوْنَاهُمْ كَمَا بَلَوْنَا أَصْحَابَ الْجَنَّةِ
68:34	5	jannāti	(are) Gardens	 إِنَّ لِلْمُتَّقِينَ عِنْدَ رَبِّهِمْ جَنَّاتِ النَّعِيمِ
68:51	12	lamajnūnun	(is) surely mad	 وَيَقُولُونَ إِنَّهُ لَمَجْنُونٌ
69:22	2	jannatin	a Garden	 فِي جَنَّةٍ عَالِيَةٍ
70:35	3	jannātin	Gardens	 أُولَٰئِكَ فِي جَنَّاتٍ مُكْرَمُونَ
70:38	7	jannata	a Garden	 أَيَطْمَعُ كُلُّ امْرِئٍ مِنْهُمْ أَنْ يُدْخَلَ جَنَّةَ نَعِيمٍ
71:12	6	jannātin	gardens	 وَيُمْدِدْكُمْ بِأَمْوَالٍ وَبَنِينَ وَيَجْعَلْ لَكُمْ جَنَّاتٍ وَيَجْعَلْ لَكُمْ أَنْهَارًا
72:1	8	l-jini	the jinn	 قُلْ أُوحِيَ إِلَيَّ أَنَّهُ اسْتَمَعَ نَفَرٌ مِنَ الْجِنِّ فَقَالُوا إِنَّا سَمِعْنَا قُرْآنًا عَجَبًا
72:5	7	wal-jinu	and the jinn	 وَأَنَّا ظَنَنَّا أَنْ لَنْ تَقُولَ الْإِنْسُ وَالْجِنُّ عَلَى اللَّهِ كَذِبًا
72:6	9	l-jini	the jinn	 وَأَنَّهُ كَانَ رِجَالٌ مِنَ الْإِنْسِ يَعُوذُونَ بِرِجَالٍ مِنَ الْجِنِّ فَزَادُوهُمْ رَهَقًا
74:40	2	jannātin	Gardens	 فِي جَنَّاتٍ يَتَسَاءَلُونَ
76:12	4	jannatan	(with) a Garden	 وَجَزَاهُمْ بِمَا صَبَرُوا جَنَّةً وَحَرِيرًا
78:16	1	wajannātin	And gardens	 وَجَنَّاتٍ أَلْفَافًا
79:41	2	l-janata	Paradise 	 فَإِنَّ الْجَنَّةَ هِيَ الْمَأْوَىٰ
81:13	2	l-janatu	Paradise	 وَإِذَا الْجَنَّةُ أُزْلِفَتْ
81:22	3	bimajnūnin	mad	 وَمَا صَاحِبُكُمْ بِمَجْنُونٍ
85:11	7	jannātun	(will be) Gardens	 إِنَّ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ لَهُمْ جَنَّاتٌ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ
88:10	2	jannatin	a garden	 فِي جَنَّةٍ عَالِيَةٍ
89:30	2	jannatī	My Paradise	 وَادْخُلِي جَنَّتِي
98:8	4	jannātu	Gardens	 جَزَاؤُهُمْ عِنْدَ رَبِّهِمْ جَنَّاتُ عَدْنٍ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ
114:6	2	l-jinati	the jinn	 مِنَ الْجِنَّةِ وَالنَّاسِ
